timestamp,Building Electricity Usage (kW),,,
2025-03-01 00:00:00,73.58,,,
2025-03-01 00:05:00,76.79,,,
2025-03-01 00:10:00,67.29,,,
2025-03-01 00:15:00,70.11,,,
2025-03-01 00:20:00,62.24,,,
2025-03-01 00:25:00,67.99,,,
2025-03-01 00:30:00,71.23,,,
2025-03-01 00:35:00,65.66,,,
2025-03-01 00:40:00,69.43,,,
2025-03-01 00:45:00,68.22,,,
2025-03-01 00:50:00,68.71,,,
2025-03-01 00:55:00,66.69,,,
2025-03-01 01:00:00,66.07,,,
2025-03-01 01:05:00,67.53,,,
2025-03-01 01:10:00,68.72,,,
2025-03-01 01:15:00,64.6,,,
2025-03-01 01:20:00,68.1,,,
2025-03-01 01:25:00,67.27,,,
2025-03-01 01:30:00,71.84,,,
2025-03-01 01:35:00,66.79,,,
2025-03-01 01:40:00,65.03,,,
2025-03-01 01:45:00,74.73,,,
2025-03-01 01:50:00,58.93,,,
2025-03-01 01:55:00,71.49,,,
2025-03-01 02:00:00,70.12,,,
2025-03-01 02:05:00,62.6,,,
2025-03-01 02:10:00,71.55,,,
2025-03-01 02:15:00,68.57,,,
2025-03-01 02:20:00,65.59,,,
2025-03-01 02:25:00,62.57,,,
2025-03-01 02:30:00,69.56,,,
2025-03-01 02:35:00,64.59,,,
2025-03-01 02:40:00,62.02,,,
2025-03-01 02:45:00,66.26,,,
2025-03-01 02:50:00,65.98,,,
2025-03-01 02:55:00,68.27,,,
2025-03-01 03:00:00,67.49,,,
2025-03-01 03:05:00,73.2,,,
2025-03-01 03:10:00,71.41,,,
2025-03-01 03:15:00,68.17,,,
2025-03-01 03:20:00,65.48,,,
2025-03-01 03:25:00,74.13,,,
2025-03-01 03:30:00,72.81,,,
2025-03-01 03:35:00,80.59,,,
2025-03-01 03:40:00,71.33,,,
2025-03-01 03:45:00,77.18,,,
2025-03-01 03:50:00,72.8,,,
2025-03-01 03:55:00,71.66,,,
2025-03-01 04:00:00,65.65,,,
2025-03-01 04:05:00,74.96,,,
2025-03-01 04:10:00,69.11,,,
2025-03-01 04:15:00,70.85,,,
2025-03-01 04:20:00,73.16,,,
2025-03-01 04:25:00,72.67,,,
2025-03-01 04:30:00,67.98,,,
2025-03-01 04:35:00,71.52,,,
2025-03-01 04:40:00,78.91,,,
2025-03-01 04:45:00,78.4,,,
2025-03-01 04:50:00,78.99,,,
2025-03-01 04:55:00,77.41,,,
2025-03-01 05:00:00,79.9,,,
2025-03-01 05:05:00,78.76,,,
2025-03-01 05:10:00,77.68,,,
2025-03-01 05:15:00,83.58,,,
2025-03-01 05:20:00,78.52,,,
2025-03-01 05:25:00,77.01,,,
2025-03-01 05:30:00,85.54,,,
2025-03-01 05:35:00,86.24,,,
2025-03-01 05:40:00,75.63,,,
2025-03-01 05:45:00,85.11,,,
2025-03-01 05:50:00,75.02,,,
2025-03-01 05:55:00,88.12,,,
2025-03-01 06:00:00,80.76,,,
2025-03-01 06:05:00,88.3,,,
2025-03-01 06:10:00,83.38,,,
2025-03-01 06:15:00,87.85,,,
2025-03-01 06:20:00,81.69,,,
2025-03-01 06:25:00,86.78,,,
2025-03-01 06:30:00,88.37,,,
2025-03-01 06:35:00,93.16,,,
2025-03-01 06:40:00,97.21,,,
2025-03-01 06:45:00,93.07,,,
2025-03-01 06:50:00,92.67,,,
2025-03-01 06:55:00,88.09,,,
2025-03-01 07:00:00,87.27,,,
2025-03-01 07:05:00,94.44,,,
2025-03-01 07:10:00,94.97,,,
2025-03-01 07:15:00,97.6,,,
2025-03-01 07:20:00,98.74,,,
2025-03-01 07:25:00,98.12,,,
2025-03-01 07:30:00,91.56,,,
2025-03-01 07:35:00,101.76,,,
2025-03-01 07:40:00,98.53,,,
2025-03-01 07:45:00,95.89,,,
2025-03-01 07:50:00,98.81,,,
2025-03-01 07:55:00,95.64,,,
2025-03-01 08:00:00,100.62,,,
2025-03-01 08:05:00,105.77,,,
