timestamp,Midwest Carbon Intensity (grams of CO2 per kWh),East Carbon Intensity (grams of CO2 per kWh),West Carbon Intensity (grams of CO2 per kWh)
2025-03-01 00:00:00,550.9,449.1,398.8
2025-03-01 00:05:00,546.9,447.9,394.6
2025-03-01 00:10:00,552.2,452.6,398.9
2025-03-01 00:15:00,552.8,445.7,399.2
2025-03-01 00:20:00,544.1,446.9,394.5
2025-03-01 00:25:00,546.1,448.9,400.7
2025-03-01 00:30:00,550.4,454.7,401.5
2025-03-01 00:35:00,549,453,405.6
2025-03-01 00:40:00,549.9,444.9,396
2025-03-01 00:45:00,547.4,453.9,402.2
2025-03-01 00:50:00,552.6,453.9,402.9
2025-03-01 00:55:00,552.3,446.3,401.6
2025-03-01 01:00:00,550.2,442.2,397
2025-03-01 01:05:00,553.4,449.5,396.8
2025-03-01 01:10:00,551.4,453,400.3
2025-03-01 01:15:00,547.4,454.4,400.3
2025-03-01 01:20:00,551.1,446.9,398.3
2025-03-01 01:25:00,547.1,454.7,403.9
2025-03-01 01:30:00,552.6,442.7,398.8
2025-03-01 01:35:00,549.8,448.2,394.3
2025-03-01 01:40:00,549.4,448,399.3
2025-03-01 01:45:00,547.9,452.5,401.4
2025-03-01 01:50:00,553.6,452.9,401
2025-03-01 01:55:00,549.4,451.7,401
2025-03-01 02:00:00,548.6,444.6,404.5
2025-03-01 02:05:00,548.8,451.1,396.7
2025-03-01 02:10:00,551.5,449.8,398.7
2025-03-01 02:15:00,550.9,443.1,404.6
2025-03-01 02:20:00,551,441.6,394.1
2025-03-01 02:25:00,551.1,450.7,399.8
2025-03-01 02:30:00,556.2,446.7,403.7
2025-03-01 02:35:00,548.5,443.1,403.6
2025-03-01 02:40:00,548.1,445.9,402
2025-03-01 02:45:00,547.2,447.3,402.1
2025-03-01 02:50:00,551.4,445.5,396.9
2025-03-01 02:55:00,552.9,440.6,404.1
2025-03-01 03:00:00,549.1,450.4,396.4
2025-03-01 03:05:00,546.9,447.2,396.6
2025-03-01 03:10:00,546.8,442.5,401.2
2025-03-01 03:15:00,551.1,442,398.5
2025-03-01 03:20:00,551.3,443.2,400.6
2025-03-01 03:25:00,550.6,437.9,401.3
2025-03-01 03:30:00,546.9,441.4,405.3
2025-03-01 03:35:00,549.4,435.5,401.3
2025-03-01 03:40:00,548.9,438.3,398.1
2025-03-01 03:45:00,549.1,433.9,402
2025-03-01 03:50:00,550.8,432.9,397.5
2025-03-01 03:55:00,548.7,440,402.7
2025-03-01 04:00:00,549.8,433.9,400.2
2025-03-01 04:05:00,547.8,433,401.2
2025-03-01 04:10:00,548.2,424.8,394.7
