timestamp,Primary Data Center (kW),Backup Data Center (kW)
2025-03-01 00:00:00,255.29,39.21
2025-03-01 00:05:00,251.2,40.08
2025-03-01 00:10:00,252.94,39.03
2025-03-01 00:15:00,256.72,39.1
2025-03-01 00:20:00,255.6,40.76
2025-03-01 00:25:00,247.07,40.49
2025-03-01 00:30:00,252.85,39.64
2025-03-01 00:35:00,249.55,40.93
2025-03-01 00:40:00,249.69,41.18
2025-03-01 00:45:00,251.23,38.89
2025-03-01 00:50:00,250.43,40.61
2025-03-01 00:55:00,254.36,41.39
2025-03-01 01:00:00,252.28,39.75
2025-03-01 01:05:00,250.37,39.24
2025-03-01 01:10:00,251.33,39.06
2025-03-01 01:15:00,251,40.94
2025-03-01 01:20:00,254.48,40.55
2025-03-01 01:25:00,249.38,40.96
2025-03-01 01:30:00,310.94,39.05
2025-03-01 01:35:00,307.44,39.5
2025-03-01 01:40:00,302.34,39.6
2025-03-01 01:45:00,311.96,40.59
2025-03-01 01:50:00,312.59,40.01
2025-03-01 01:55:00,307.77,39.11
2025-03-01 02:00:00,316.81,40.05
2025-03-01 02:05:00,305.64,39.82
2025-03-01 02:10:00,310.14,40.28
2025-03-01 02:15:00,309.44,39.03
2025-03-01 02:20:00,314.6,41.39
2025-03-01 02:25:00,314.41,39.39
2025-03-01 02:30:00,310.46,39.78
2025-03-01 02:35:00,311.13,41.93
2025-03-01 02:40:00,307.34,39.11
2025-03-01 02:45:00,304.06,40.02
2025-03-01 02:50:00,308.96,41.3
2025-03-01 02:55:00,310.47,41.37
2025-03-01 03:00:00,313.69,40.55
2025-03-01 03:05:00,313.61,38.95
2025-03-01 03:10:00,308.84,37.83
2025-03-01 03:15:00,309.09,41.32
2025-03-01 03:20:00,306.85,39.1
2025-03-01 03:25:00,305.74,38.6
2025-03-01 03:30:00,244.88,42.04
2025-03-01 03:35:00,255.85,37.98
2025-03-01 03:40:00,248.47,39.99
2025-03-01 03:45:00,248.69,38.38
2025-03-01 03:50:00,246.24,40.44
2025-03-01 03:55:00,252.33,40.05
2025-03-01 04:00:00,245.16,40.91
2025-03-01 04:05:00,249.36,39.95
2025-03-01 04:10:00,247.31,40.03
2025-03-01 04:15:00,251.16,39.44
2025-03-01 04:20:00,248.47,39.84
2025-03-01 04:25:00,246.46,40.79
2025-03-01 04:30:00,249.92,37.66
2025-03-01 04:35:00,251.28,39.11
2025-03-01 04:40:00,250.2,39.37
2025-03-01 04:45:00,250.91,41.49
2025-03-01 04:50:00,248.1,39.26
2025-03-01 04:55:00,248.91,40.02
2025-03-01 05:00:00,247.98,115.29
2025-03-01 05:05:00,248.92,116.81
2025-03-01 05:10:00,247.56,113.78
2025-03-01 05:15:00,244.82,113.52
2025-03-01 05:20:00,250.53,114.47
2025-03-01 05:25:00,248.79,117.04
2025-03-01 05:30:00,245.11,115.46
2025-03-01 05:35:00,251.39,115.05
2025-03-01 05:40:00,247.28,115.19
2025-03-01 05:45:00,250.16,114.19
2025-03-01 05:50:00,252.19,113.92
2025-03-01 05:55:00,250.39,115.68
2025-03-01 06:00:00,253.42,116.42
2025-03-01 06:05:00,246.3,115.44
2025-03-01 06:10:00,251.21,114.92
2025-03-01 06:15:00,247.95,113.91
2025-03-01 06:20:00,247.39,114.56
2025-03-01 06:25:00,248.26,116.67
2025-03-01 06:30:00,249.07,112.08
2025-03-01 06:35:00,250.17,116.68
2025-03-01 06:40:00,246.5,114.85
2025-03-01 06:45:00,252.7,114.63
2025-03-01 06:50:00,251.4,115.14
2025-03-01 06:55:00,245.39,114.78
2025-03-01 07:00:00,254.46,37.5
2025-03-01 07:05:00,255.69,39.4
2025-03-01 07:10:00,253.54,40.73
2025-03-01 07:15:00,249.46,41.21
2025-03-01 07:20:00,246.79,38.96
2025-03-01 07:25:00,253.16,39.75
2025-03-01 07:30:00,248.79,38.61
2025-03-01 07:35:00,253.67,39.92
2025-03-01 07:40:00,250.62,40.98
2025-03-01 07:45:00,252.93,39.79
2025-03-01 07:50:00,251.07,39.51
2025-03-01 07:55:00,252.12,38.33
2025-03-01 08:00:00,250.03,40.22
2025-03-01 08:05:00,255.36,39.33
2025-03-01 08:10:00,250.38,39.78
2025-03-01 08:15:00,251.21,39.1
2025-03-01 08:20:00,255.65,38.75
2025-03-01 08:25:00,245.96,39.82
2025-03-01 08:30:00,246.19,39.34
2025-03-01 08:35:00,252.91,41.2
2025-03-01 08:40:00,246.48,38.41
2025-03-01 08:45:00,255.83,39.21
2025-03-01 08:50:00,248.76,39.38
2025-03-01 08:55:00,247.76,38.34
2025-03-01 09:00:00,255.77,40.44
2025-03-01 09:05:00,254.44,37.43
2025-03-01 09:10:00,255.6,39.38
2025-03-01 09:15:00,252.72,40.34
2025-03-01 09:20:00,247.42,41.07
2025-03-01 09:25:00,255.73,38.51
2025-03-01 09:30:00,249.2,39.71
2025-03-01 09:35:00,252.41,39.69
2025-03-01 09:40:00,252.84,41.28
2025-03-01 09:45:00,249.53,41.45
2025-03-01 09:50:00,251.84,39.09
2025-03-01 09:55:00,252.77,39.12
2025-03-01 10:00:00,251.13,39.35
2025-03-01 10:05:00,246.7,37.44
2025-03-01 10:10:00,250.89,40.24
2025-03-01 10:15:00,253.98,40.57
2025-03-01 10:20:00,247.92,41.1
2025-03-01 10:25:00,249.55,39.25
2025-03-01 10:30:00,248.69,42.1
2025-03-01 10:35:00,255.55,38.66
2025-03-01 10:40:00,252.02,38.7
2025-03-01 10:45:00,251.22,41.16
2025-03-01 10:50:00,247.69,39.05
2025-03-01 10:55:00,251.62,40
2025-03-01 11:00:00,247.98,40.18
2025-03-01 11:05:00,250.1,40.19
2025-03-01 11:10:00,248.09,40.4
2025-03-01 11:15:00,252.03,39.34
2025-03-01 11:20:00,251.73,39.87
2025-03-01 11:25:00,249.38,37.16
2025-03-01 11:30:00,251.19,40.42
2025-03-01 11:35:00,246.72,37.22
2025-03-01 11:40:00,245.53,40.27
2025-03-01 11:45:00,251.32,40.23
2025-03-01 11:50:00,250.5,41.4
2025-03-01 11:55:00,251.91,41.56
2025-03-01 12:00:00,257.15,40.84
2025-03-01 12:05:00,252.83,40.9
2025-03-01 12:10:00,247.26,40.32
2025-03-01 12:15:00,253.35,39.4
2025-03-01 12:20:00,246.05,38.98
2025-03-01 12:25:00,248.62,39.38
2025-03-01 12:30:00,249.8,41.69
2025-03-01 12:35:00,255.14,40.27
2025-03-01 12:40:00,247.77,39.6
2025-03-01 12:45:00,247.52,39.7
2025-03-01 12:50:00,249.7,40.22
2025-03-01 12:55:00,248.01,39.78
2025-03-01 13:00:00,268.38,40.69
2025-03-01 13:05:00,261.76,38.58
2025-03-01 13:10:00,261.56,39.18
2025-03-01 13:15:00,263.69,38.01
2025-03-01 13:20:00,263.51,40.44
2025-03-01 13:25:00,270.79,40.67
2025-03-01 13:30:00,267.85,40.72
2025-03-01 13:35:00,265.26,39.7
2025-03-01 13:40:00,261.32,41.11
2025-03-01 13:45:00,267.53,39.18
2025-03-01 13:50:00,262,39.42
2025-03-01 13:55:00,260.37,41.2
2025-03-01 14:00:00,268.56,37.37
2025-03-01 14:05:00,265.95,41.59
2025-03-01 14:10:00,267.76,41.42
2025-03-01 14:15:00,265.96,40.77
2025-03-01 14:20:00,267.57,40.17
2025-03-01 14:25:00,263.05,40.82
2025-03-01 14:30:00,261.9,38.37
2025-03-01 14:35:00,267.04,40.3
2025-03-01 14:40:00,262.59,41.33
2025-03-01 14:45:00,262.93,40.83
2025-03-01 14:50:00,263.63,39.52
2025-03-01 14:55:00,265.05,40.16
2025-03-01 15:00:00,248.94,39.42
2025-03-01 15:05:00,245.88,39.3
2025-03-01 15:10:00,248.07,38.85
2025-03-01 15:15:00,243.33,40.72
2025-03-01 15:20:00,251.88,39.06
2025-03-01 15:25:00,245.19,38.75
2025-03-01 15:30:00,246.69,40.98
2025-03-01 15:35:00,250.16,39.03
2025-03-01 15:40:00,247.78,39.08
2025-03-01 15:45:00,254.63,40.16
2025-03-01 15:50:00,246.12,38.66
2025-03-01 15:55:00,250.8,41.06
2025-03-01 16:00:00,249.88,39.92
2025-03-01 16:05:00,246.5,41.7
2025-03-01 16:10:00,251.57,39.73
2025-03-01 16:15:00,249.49,39.69
2025-03-01 16:20:00,252.32,38.25
2025-03-01 16:25:00,252.47,40.42
2025-03-01 16:30:00,256.49,41.28
2025-03-01 16:35:00,254.01,39.47
2025-03-01 16:40:00,248.89,41.03
2025-03-01 16:45:00,249.28,40.15
2025-03-01 16:50:00,253.3,39.14
2025-03-01 16:55:00,251.97,40.47
2025-03-01 17:00:00,251.92,40.27
2025-03-01 17:05:00,245.15,39.24
2025-03-01 17:10:00,249.93,41.71
2025-03-01 17:15:00,247.79,40.26
2025-03-01 17:20:00,250.84,40.27
2025-03-01 17:25:00,249.71,40.03
2025-03-01 17:30:00,252.73,40.65
2025-03-01 17:35:00,250.95,40.72
2025-03-01 17:40:00,252.36,39.73
2025-03-01 17:45:00,248.6,41.16
2025-03-01 17:50:00,247.17,39.81
2025-03-01 17:55:00,248.77,40.65
2025-03-01 18:00:00,299.95,40.75
2025-03-01 18:05:00,301.14,41.56
2025-03-01 18:10:00,306.78,38.74
2025-03-01 18:15:00,299.87,39.37
2025-03-01 18:20:00,297.13,40.63
2025-03-01 18:25:00,298.96,40.29
2025-03-01 18:30:00,298.61,39.17
2025-03-01 18:35:00,301.44,39.79
2025-03-01 18:40:00,295.38,39.29
